Time,Avg_Speed,Max,AvgX,AvgY
0.0,1.0187486842783107,6.89834658651834,0.6331542071099828,0.11769810798649874
3.0,0.8890287798276219,5.401172650082574,0.5472401533370923,0.12830921178729127
6.0,0.5944436141029508,5.178225961590238,-0.2205601138821683,0.13363831077076313
9.0,0.7179063850507412,5.528040232037077,0.4451333262090374,0.09999088110232404
12.0,0.7221464782163204,4.671549432716888,0.4055453699670897,0.08053450698913162
15.0,0.7392476532609006,4.644936518008644,0.44011712051420504,0.07775830013646658
18.0,0.8685983269031132,5.832976474248616,0.49837062033077717,0.0373435968820117
21.0,0.8613525778044825,5.192995705033728,0.47401367386198867,0.030869338889467537
24.0,0.8974792680776225,5.790203195387209,0.49811205494019994,0.04719957448504474
27.0,0.8350164153803236,5.096775249233381,0.49635274614419733,-0.003542234712195286
30.0,0.8458177227336615,5.710923371762269,0.5136044154604117,0.011178293452508167
33.0,0.6668307170822262,5.219638975295354,0.3490393755622217,0.02591083520629292
36.0,0.6232503436090168,5.270208562215902,0.284074785623516,-0.02431938621498039
39.0,0.8336900261888889,6.563921591885939,0.1875145783617955,-0.004627822337502636
42.0,1.3193472751702093,6.302675593695734,0.0167747777496959,0.006364825715913263
45.0,1.3195263188543322,6.299264542779085,-0.0018562673687206991,-0.02199374490725465
48.0,1.1616524200441807,5.530604021921148,0.14634279569769604,-0.01755261561536971
51.0,1.0350697351492475,5.920542361926816,0.10703570767362004,-0.0012373339335399372
54.0,0.8492177568503169,4.608871923564111,0.18703390828611471,0.013781168418452573
57.0,0.7159972820709065,5.319528059741266,0.18278824594437548,0.007337311320198973
60.0,0.635563473068056,3.5784855371469453,0.15440194997747417,0.013158290608102866
63.0,0.591822428990389,2.796507598069564,0.1467067507342187,-0.051922588392769184
66.0,0.5854015853554638,2.901407202868126,0.13718106825148832,-0.04709519461504148
69.0,0.5908013740389009,4.526802786141331,0.11286922003659743,-0.03254497313373561
72.0,0.6233059768469702,4.561223752392489,0.04795620554207076,-0.0124063834676715
