Time(min),Theta(Degrees)
0.0,91.15152856717259
0.0,91.22015148078367
0.0,87.9073954715614
0.0,95.44664862694145
0.0,1.8419318608029607
0.0,35.7153549013362
0.0,62.01568155093831
0.0,31.621720548723726
0.0,17.71945787184726
0.0,21.322458049483924
0.0,11.030827369382456
0.0,140.43523200895757
0.0,159.47873718081655
0.0,99.97226835324942
0.0,92.41921429169534
0.0,89.09732016187259
0.0,75.0110721949264
0.0,87.45523186484468
0.0,82.10062237850956
0.0,70.05085551768317
0.0,52.26551479040316
0.0,34.14562742977052
0.0,19.568657037047156
0.0,91.7483573551195
0.0,108.56013359315621
0.0,135.962023183442
0.0,173.4501503552707
0.0,86.60084710303131
0.0,82.23154586537596
0.0,87.01149689466385
0.0,90.62735608719404
0.0,77.98887709757682
0.0,71.03158472388041
0.0,69.26620260587164
0.0,63.05766191733378
0.0,174.45002343324956
0.0,47.035844613721075
0.0,127.1168408842484
0.0,137.85084257641557
0.0,152.81406979077857
0.0,100.83267594290415
0.0,70.96632885669487
0.0,81.94125668349837
0.0,77.91904719727583
0.0,49.56234743124975
0.0,54.78829577419556
0.0,28.850339445243282
0.0,92.177264028298
0.0,169.92102777572282
0.0,147.9635601857205
0.0,137.97884974592245
0.0,137.47945230093592
0.0,133.4431771174615
0.0,120.82947414266314
0.0,109.0081724459809
0.0,86.7620894049473
0.0,83.52162326560054
0.0,50.66221386216663
0.0,51.66783048205102
0.0,103.51967044943291
0.0,138.23526842307305
0.0,168.98106363089602
0.0,143.89033374265128
0.0,150.74065802658592
0.0,142.41644067700364
0.0,141.74572709731868
0.0,149.36135950397224
0.0,147.9180918839241
0.0,100.66733432042825
0.0,76.43797524356532
0.0,48.69769183549292
0.0,64.20643773077087
0.0,74.19608508908233
0.0,115.98896042782503
0.0,173.42261151596514
0.0,163.9161167140126
0.0,163.81480970943738
0.0,136.40487324120986
0.0,131.58049080500638
0.0,134.60270841245813
0.0,138.63457052220954
0.0,168.30464122232806
0.0,164.0657891474403
0.0,39.57727597708301
0.0,64.8682856677745
0.0,55.24174744980454
0.0,177.63258418794652
0.0,20.782309576882067
0.0,175.41109961153353
0.0,158.64628394196816
0.0,140.61738630825943
0.0,134.417016477678
0.0,126.73428542263684
0.0,129.65821737687256
0.0,150.31312291784477
0.0,153.83365406997447
0.0,6.436707354552914
0.0,32.599261366829374
0.0,72.2447750272605
0.0,108.55326085794584
0.0,162.22946907851355
0.0,179.42264508075837
0.0,144.97456739143965
0.0,136.30305750960298
0.0,138.5329533864329
0.0,135.52888249774546
0.0,49.77804739710739
0.0,128.65797719682627
0.0,63.65784060858154
0.0,57.7165831076161
0.0,14.172112300215908
0.0,56.690008250147784
0.0,9.839377569047842
0.0,90.45730097893242
0.0,105.44516187939752
0.0,168.49300925419436
0.0,74.02982144865653
0.0,123.30503336053464
0.0,104.83933551082201
0.0,91.13549430246768
0.0,157.70333273316663
0.0,59.41149217408848
0.0,5.545335119086936
0.0,5.695066971538142
0.0,10.28563346001986
0.0,35.38396893256103
0.0,52.74510709239688
0.0,73.41819196822165
0.0,169.28168726848912
0.0,57.06896102418115
0.0,138.5063005306335
0.0,18.416216779103262
0.0,102.78777557273536
0.0,109.53951350142339
0.0,26.348599134858507
0.0,133.03046689671407
0.0,12.161934531735028
0.0,28.900913000955438
0.0,3.491724272938703
0.0,31.984567777933016
0.0,61.501272365279675
0.0,92.73163129957389
0.0,45.9755142147451
0.0,139.15150945706316
0.0,164.93131404557113
0.0,139.0837341239367
0.0,44.50607570463535
0.0,115.04014303272666
0.0,35.52611979174417
0.0,42.481197919593065
0.0,45.28049486742295
0.0,1.4709997373114907
0.0,98.3764210255933
0.0,60.36677056219568
0.0,111.09340393595313
0.0,82.31794409233586
0.0,163.10366356907068
0.0,2.356884467947325
0.0,146.77569607943693
0.0,175.49938581418786
0.0,135.65067561181294
0.0,75.60382906928612
0.0,35.297035654841864
0.0,20.895208167830194
0.0,64.10247864787358
0.0,138.00682897752287
0.0,74.12661761148196
0.0,15.441391753255171
0.0,123.92105803229524
0.0,171.8406198810821
0.0,137.37416738433066
0.0,124.62286508957453
0.0,124.25065399181025
0.0,40.73032902377611
0.0,38.947263075176835
0.0,39.078696350116125
0.0,135.14709711854513
0.0,1.200842633119486
0.0,84.76330056693794
0.0,143.19652725123737
0.0,141.9525023042835
0.0,149.57682884984035
0.0,80.64304069541913
0.0,168.12345401120456
0.0,151.6409648478875
0.0,102.26590677606282
0.0,110.90691854701063
0.0,123.65410466830292
0.0,53.47399118003368
0.0,128.20040255900804
0.0,129.0706683261776
3.0,116.6926620758719
3.0,93.05058113368217
3.0,92.05179185580631
3.0,95.68539857591459
3.0,79.95735448470748
3.0,119.88997129259982
3.0,136.6212595360411
3.0,174.12564286445772
